candidate_id,queue_priority,chunk_type,risk_level,heading_path,content_preview,candidate_fields_preview,manual_review_reasons,validation_warnings,recommended_reviewer_action
664d0445-11f2-42fc-8ca8-e32125ff831c,P1_high_risk_practice,practice,high,ГЛАВА 10. НейроСталкинг — жизнь из присутствия / 3. После — не удерживай. Не думай «надо запомнить». Отпусти. / Практика 6. «Письмо из шестой перспективы»,"**Цель:** Соприкосновение с точкой зрения, которая шире «я» **Время:** 20–30 минут Возьми лист бумаги. Подумай о ситуации в своей жизни, которая сейчас сложная — конфликт, неопределённость, боль. Теперь напиши о ней — но не от лица того, кто в ней страдает. Напиши от лица того, кто видит всё свер...","{""summary_candidate"": ""Практика из раздела «ГЛАВА 10. НейроСталкинг — жизнь из присутствия» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление.""]}","[""manual_review_required_by_prd"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
9d465784-2b2d-47c5-b750-7cbca1ae3418,P1_high_risk_practice,practice,high,ГЛАВА 10. НейроСталкинг — жизнь из присутствия / 4. Если внутри возникло «не хочу страдать» — останови. Спроси: кто это «не хочу»? Это ты — или это тоже программа? / Практика 5. «Самодостаточность на вкус»,"**Цель:** Переключить ориентир с обладания на переживание **Время:** 5–10 минут в любой момент дня Выбери что-то простое — чашку кофе, прогулку, разговор с человеком, которого ты любишь.","{""summary_candidate"": ""Практика из раздела «ГЛАВА 10. НейроСталкинг — жизнь из присутствия» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление.""]}","[""manual_review_required_by_prd"", ""legacy_too_short"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
96c251fc-6281-4ba5-acec-fcfd47efde66,P1_high_risk_practice,practice,high,"ГЛАВА 10. НейроСталкинг — жизнь из присутствия / 4. После разговора: не оценивай, как прошло. Просто спроси себя — был ли я собой в этом разговоре? / Практика 4. «Проба страдания»","**Цель:** Распознать отождествление с «я-который-страдает» **Время:** 10–15 минут Это упражнение Саламат давал участникам сессий — намеренно, как провокацию. Сядь спокойно. И попробуй сознательно — страдать. Вспомни какую-нибудь ситуацию, которая раньше вызывала боль. Позволь этому подняться.","{""summary_candidate"": ""Практика из раздела «ГЛАВА 10. НейроСталкинг — жизнь из присутствия» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление.""]}","[""manual_review_required_by_prd"", ""legacy_too_short"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
345bff70-ae50-4f01-8848-05bdaf477a48,P1_high_risk_practice,practice,high,ГЛАВА 10. НейроСталкинг — жизнь из присутствия / 5. Оставайся с этим 5 минут. / Практика 2. «Я и моя реакция»,"**Цель:** Создание зазора между триггером и ответом **Время:** В реальном времени, при возникновении реакции Когда почувствуешь, что тебя что-то задело — злость, обида, тревога, раздражение — не действуй сразу.","{""summary_candidate"": ""Практика из раздела «ГЛАВА 10. НейроСталкинг — жизнь из присутствия» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление.""]}","[""manual_review_required_by_prd"", ""legacy_too_short"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
42396949-f3a8-41b1-b53d-5570a18854a5,P1_high_risk_practice,practice,high,ГЛАВА 10. НейроСталкинг — жизнь из присутствия / Практикум: Глава 10 / Практика 1. «Кто замечает»,**Цель:** Прямой контакт с наблюдателем **Время:** 10–15 минут Сядь удобно. Не нужно закрывать глаза — можешь оставить их открытыми с мягким взглядом.,"{""summary_candidate"": ""Практика из раздела «ГЛАВА 10. НейроСталкинг — жизнь из присутствия» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление.""]}","[""manual_review_required_by_prd"", ""legacy_too_short"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
29b088ae-d536-4b4f-89a6-9f8e3a5da527,P1_high_risk_practice,practice,high,"ГЛАВА 7. Страх: союзник, которого ты превратил во врага / 3. **Что страх говорит тебе «нельзя» — что на самом деле «важно»?** / Практика 2: Расшифровка страха в моменте","**Цель:** научиться слышать страх как информацию, а не как команду. **Время:** 3–5 минут. Использовать ситуативно — когда страх появился. Когда замечаешь страх — остановись. Не борись, не убегай. Задай четыре вопроса:","{""summary_candidate"": ""Практика из раздела «ГЛАВА 7. Страх: союзник, которого ты превратил во врага» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление."", ""Если усиливается страх или телесная перегрузка, лучше сначала сузить шаг до grounding/refer-out.""]}","[""manual_review_required_by_prd"", ""legacy_too_short"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
4723933e-21e6-4d6a-9490-2501a6a7c931,P1_high_risk_practice,practice,high,"ГЛАВА 7. Страх: союзник, которого ты превратил во врага / 4. **Если бы страх был союзником — что он хочет мне сказать?** / Практика 3: Шкала реальности","**Цель:** снизить катастрофизацию — когнитивное искажение, при котором страх преувеличивает угрозу. **Время:** 10 минут. Возьми конкретный страх, который сейчас актуален. Напиши ответы на три вопроса: **Что произойдёт в самом худшем случае?** Максимально честно. Не «наверное, будет плохо» — а кон...","{""summary_candidate"": ""Практика из раздела «ГЛАВА 7. Страх: союзник, которого ты превратил во врага» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление."", ""Если усиливается страх или телесная перегрузка, лучше сначала сузить шаг до grounding/refer-out.""]}","[""manual_review_required_by_prd"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
2ce481d9-57df-45ee-aca3-543652eaa87f,P1_high_risk_practice,practice,high,"ГЛАВА 7. Страх: союзник, которого ты превратил во врага / 4. **Если бы страх был союзником — что он хочет мне сказать?** / Практика 5: Тело в страхе",**Цель:** снизить физическую интенсивность страха через телесную работу. **Время:** 10–15 минут. Когда страх захватил — или когда ты работаешь со страхом намеренно — сначала иди в тело.,"{""summary_candidate"": ""Практика из раздела «ГЛАВА 7. Страх: союзник, которого ты превратил во врага» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление."", ""Если усиливается страх или телесная перегрузка, лучше сначала сузить шаг до grounding/refer-out.""]}","[""manual_review_required_by_prd"", ""legacy_too_short"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
85e6c213-b40f-4235-a255-3bf62513bfad,P1_high_risk_practice,practice,high,"ГЛАВА 7. Страх: союзник, которого ты превратил во врага / 5. Через несколько минут — вопрос к ощущению: «Что ты хочешь, чтобы я знал?» / Практика 6: Письмо страху","**Цель:** изменить отношения со страхом через прямое обращение к нему. **Время:** 20–30 минут. Напиши письмо своему главному страху — тому, который появился первым в карте страхов. В письме — три части: **Часть 1:** Признание. «Ты есть. Ты был здесь давно. Ты влиял на многие мои решения — и некот...","{""summary_candidate"": ""Практика из раздела «ГЛАВА 7. Страх: союзник, которого ты превратил во врага» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление."", ""Если усиливается страх или телесная перегрузка, лучше сначала сузить шаг до grounding/refer-out.""]}","[""manual_review_required_by_prd"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить timing fit, contraindications, avoid_when и оставить practice deferred без явного основания."
121bdc40-8633-469e-9837-ea9949f73de3,P2_practice_missing_contraindications,practice,medium,"ГЛАВА 1. Программа «несовершенное Я»: как работает автопилот / 5. *Ещё два медленных дыхания.* И возвращайся к тому, что делал. / Практика 7: Письмо программе","**Цель:** установить осознанный контакт с программой — не как с врагом, а как с частью себя, которая когда-то помогала выжить. **Время:** 20–30 минут. Один раз — как завершение работы с главой. Это последняя практика к первой главе. И, пожалуй, самая необычная. Возьми лист бумаги — именно бумагу,...","{""summary_candidate"": ""Практика из раздела «ГЛАВА 1. Программа «несовершенное Я»: как работает автопилот» подходит как бережный следующий шаг только при явном запросе и достаточном ресурсе."", ""mechanism_hints_candidates"": [], ""safe_user_translation_candidate"": """", ""allowed_writer_use_candidate"": ""Только как один ограниченный next step после ответа и при явном timing fit."", ""contraindications_candidates"": [""Острая дестабилизация, когда пользователю трудно удерживать внимание даже на коротком действии."", ""Состояние сильного истощения, где дополнительная практика может переживаться как давление.""]}","[""manual_review_required_by_prd"", ""missing_summary"", ""practice_missing_steps_short"", ""practice_missing_avoid_when"", ""practice_direct_to_writer_without_preconditions"", ""missing_mechanism_hints"", ""practice_candidate_needs_timing_review"", ""high_value_chapter_review"", ""practice_missing_contraindications"", ""high_value_chapter_priority"", ""practice_current_metadata_missing_contraindications""]","[""practice_current_metadata_missing_contraindications""]","Проверить, что practice не попадет в Writer без явного запроса, ресурса и ограничений."
